timestamp_utc,city,temperature_c,apparent_temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_code,weather_description
2026-08-02 09:05:01,Glasgow,14.5,13.2,70,7.6,0.0,3,Overcast
2026-08-02 09:05:01,Cardiff,18.6,16.6,50,11.2,0.0,0,Clear sky
2026-08-02 09:05:02,Belfast,15.5,15.2,69,2.2,0.0,1,Mainly clear
2026-08-02 09:05:03,Edinburgh,14.8,12.7,64,10.8,0.0,2,Partly cloudy
2026-08-02 09:05:03,Leeds,17.1,16.8,60,1.1,0.0,3,Overcast
2026-08-02 20:05:34,London,23.3,20.4,37,16.6,0.0,3,Overcast
2026-08-02 20:05:34,Birmingham,22.4,20.6,52,16.9,0.0,2,Partly cloudy
2026-08-02 20:05:35,Manchester,21.5,19.4,51,16.6,0.0,3,Overcast
2026-08-02 20:05:36,Glasgow,18.5,17.4,50,4.0,0.0,3,Overcast
2026-08-02 20:05:36,Cardiff,23.4,21.1,37,12.2,0.0,3,Overcast
2026-08-02 20:05:37,Belfast,17.3,16.6,65,6.1,0.0,3,Overcast
2026-08-02 20:05:37,Edinburgh,18.0,16.5,59,10.1,0.0,3,Overcast
2026-08-02 20:05:38,Leeds,19.5,17.5,56,14.8,0.0,3,Overcast
2026-08-03 10:32:44,London,26.2,26.9,43,9.4,0.0,0,Clear sky
2026-08-03 10:32:44,Birmingham,24.9,23.9,40,14.4,0.0,1,Mainly clear
2026-08-03 10:32:45,Manchester,24.4,22.9,41,15.8,0.0,0,Clear sky
2026-08-03 10:32:46,Glasgow,15.2,14.6,91,12.6,0.1,51,Light drizzle
2026-08-03 10:32:46,Cardiff,22.5,21.8,50,8.6,0.0,3,Overcast
2026-08-03 10:32:47,Belfast,18.0,17.2,74,12.6,0.0,3,Overcast
2026-08-03 10:32:48,Edinburgh,15.7,15.5,81,7.2,0.1,51,Light drizzle
2026-08-03 10:32:49,Leeds,23.9,22.2,40,16.2,0.0,0,Clear sky
2026-08-03 20:20:35,London,24.8,24.0,48,11.9,0.0,3,Overcast
2026-08-03 20:20:36,Birmingham,23.2,22.4,56,14.4,0.0,0,Clear sky
2026-08-03 20:20:36,Manchester,22.2,20.4,51,16.2,0.0,1,Mainly clear
2026-08-03 20:20:36,Glasgow,16.8,15.1,80,19.1,0.0,3,Overcast
2026-08-03 20:20:37,Cardiff,24.5,23.8,46,9.4,0.0,0,Clear sky
2026-08-03 20:20:37,Belfast,19.3,18.2,62,10.8,0.0,3,Overcast
2026-08-03 20:20:38,Edinburgh,17.0,15.4,73,15.5,0.0,3,Overcast
2026-08-03 20:20:38,Leeds,19.1,18.4,71,13.0,0.0,3,Overcast
2026-08-04 09:33:55,London,25.3,24.9,41,8.6,0.0,2,Partly cloudy
2026-08-04 09:33:55,Birmingham,23.2,23.0,61,13.7,0.0,3,Overcast
2026-08-04 09:33:56,Manchester,21.6,21.8,66,10.4,0.0,3,Overcast
2026-08-04 09:33:57,Glasgow,15.8,15.6,94,13.0,0.4,61,Slight rain
2026-08-04 09:33:57,Cardiff,22.7,23.2,72,14.8,0.0,3,Overcast
2026-08-04 09:33:58,Belfast,18.8,20.1,88,7.6,0.0,3,Overcast
2026-08-04 09:33:59,Edinburgh,16.3,17.1,94,7.6,0.0,3,Overcast
2026-08-04 09:34:00,Leeds,21.5,21.8,67,9.4,0.0,3,Overcast
2026-08-04 20:18:45,London,22.8,22.0,64,18.7,0.0,0,Clear sky
2026-08-04 20:18:45,Birmingham,21.5,20.6,64,15.8,0.0,3,Overcast
2026-08-04 20:18:46,Manchester,21.1,20.9,73,16.2,0.0,3,Overcast
2026-08-04 20:18:46,Glasgow,18.0,19.2,87,5.0,0.0,3,Overcast
2026-08-04 20:18:47,Cardiff,19.5,19.3,75,12.2,0.0,2,Partly cloudy
2026-08-04 20:18:47,Belfast,18.7,19.9,85,6.5,0.0,3,Overcast
2026-08-04 20:18:47,Edinburgh,19.7,19.5,76,14.4,0.0,3,Overcast
2026-08-04 20:18:48,Leeds,21.1,22.6,79,7.6,0.0,3,Overcast
2026-08-05 09:30:16,London,21.6,20.5,60,15.1,0.0,3,Overcast
2026-08-05 09:30:16,Birmingham,18.9,16.0,53,18.0,0.0,2,Partly cloudy
2026-08-05 09:30:17,Manchester,16.8,13.7,67,22.3,0.0,3,Overcast
2026-08-05 09:30:17,Glasgow,15.7,13.4,82,21.6,0.0,3,Overcast
2026-08-05 09:30:18,Cardiff,18.1,15.1,59,20.2,0.0,2,Partly cloudy
2026-08-05 09:30:19,Belfast,14.9,12.2,84,23.0,0.0,3,Overcast
2026-08-05 09:30:19,Edinburgh,16.9,14.6,67,18.0,0.0,3,Overcast
2026-08-05 09:30:20,Leeds,17.2,14.7,67,19.1,0.0,3,Overcast
2026-08-05 20:21:12,London,21.0,17.7,43,18.7,0.0,0,Clear sky
2026-08-05 20:21:13,Birmingham,17.6,14.1,52,19.8,0.0,2,Partly cloudy
2026-08-05 20:21:13,Manchester,16.0,13.2,70,20.2,0.1,51,Light drizzle
2026-08-05 20:21:14,Glasgow,13.3,10.0,85,24.5,0.1,51,Light drizzle
2026-08-05 20:21:14,Cardiff,17.7,15.4,57,14.0,0.0,0,Clear sky
2026-08-05 20:21:15,Belfast,13.5,11.0,76,15.8,0.0,3,Overcast
2026-08-05 20:21:15,Edinburgh,13.9,9.7,77,28.8,0.0,3,Overcast
2026-08-05 20:21:16,Leeds,15.7,13.0,75,20.9,0.2,53,Moderate drizzle
2026-08-06 09:34:47,London,18.2,15.6,47,11.9,0.0,2,Partly cloudy
2026-08-06 09:34:47,Birmingham,16.1,12.7,51,16.2,0.0,3,Overcast
2026-08-06 09:34:48,Manchester,14.8,12.4,67,14.0,0.0,3,Overcast
2026-08-06 09:34:48,Glasgow,14.6,12.2,65,13.3,0.0,3,Overcast
2026-08-06 09:34:48,Cardiff,17.2,14.6,53,13.3,0.0,2,Partly cloudy
2026-08-06 09:34:49,Belfast,14.5,12.6,71,11.2,0.0,3,Overcast
2026-08-06 09:34:49,Edinburgh,13.4,11.6,76,11.2,0.0,3,Overcast
2026-08-06 09:34:50,Leeds,14.6,11.8,71,17.6,0.0,3,Overcast
2026-08-07 00:36:09,London,19.0,17.2,42,5.4,0.0,1,Mainly clear
2026-08-07 00:36:09,Birmingham,13.7,12.3,60,2.9,0.0,0,Clear sky
2026-08-07 00:36:09,Manchester,14.2,12.9,67,5.8,0.0,1,Mainly clear
2026-08-07 00:36:10,Glasgow,14.1,13.0,82,9.7,0.0,3,Overcast
2026-08-07 00:36:10,Cardiff,13.5,12.4,72,5.4,0.0,0,Clear sky
2026-08-07 00:36:11,Belfast,15.3,13.4,71,12.6,0.0,3,Overcast
2026-08-07 00:36:11,Edinburgh,14.1,12.0,66,10.4,0.0,3,Overcast
2026-08-07 00:36:11,Leeds,13.0,12.1,74,3.2,0.0,0,Clear sky
2026-08-07 08:06:17,London,16.8,15.8,52,1.4,0.0,0,Clear sky
2026-08-07 08:06:17,Birmingham,15.7,13.7,53,7.2,0.0,0,Clear sky
2026-08-07 08:06:18,Manchester,13.4,12.2,70,4.7,0.0,0,Clear sky
2026-08-07 08:06:18,Glasgow,14.6,12.2,79,18.7,0.0,3,Overcast
2026-08-07 08:06:18,Cardiff,15.9,15.1,61,2.5,0.0,2,Partly cloudy
2026-08-07 08:06:19,Belfast,15.1,13.2,72,12.6,0.0,1,Mainly clear
2026-08-07 08:06:19,Edinburgh,15.2,12.4,69,18.7,0.0,1,Mainly clear
2026-08-07 08:06:20,Leeds,15.8,13.3,57,12.2,0.0,2,Partly cloudy
2026-08-07 19:44:10,London,24.4,21.9,33,12.2,0.0,0,Clear sky
2026-08-07 19:44:10,Birmingham,22.6,20.2,33,8.6,0.0,0,Clear sky
2026-08-07 19:44:11,Manchester,19.0,17.4,51,8.6,0.0,0,Clear sky
2026-08-07 19:44:11,Glasgow,16.5,14.9,71,13.7,0.0,3,Overcast
2026-08-07 19:44:12,Cardiff,19.2,17.3,56,13.3,0.0,0,Clear sky
2026-08-07 19:44:12,Belfast,19.8,17.6,52,14.8,0.0,2,Partly cloudy
2026-08-07 19:44:12,Edinburgh,16.9,13.9,62,20.5,0.0,3,Overcast
2026-08-07 19:44:13,Leeds,18.8,16.9,51,10.4,0.0,0,Clear sky
2026-08-08 07:40:15,London,16.9,16.1,58,3.6,0.0,0,Clear sky
2026-08-08 07:40:15,Birmingham,16.1,15.1,59,4.0,0.0,0,Clear sky
2026-08-08 07:40:16,Manchester,15.0,14.2,64,2.5,0.0,0,Clear sky
2026-08-08 07:40:16,Glasgow,15.3,14.0,73,10.4,0.0,3,Overcast
2026-08-08 07:40:16,Cardiff,16.2,16.0,73,4.3,0.0,3,Overcast
2026-08-08 07:40:17,Belfast,15.4,14.6,76,7.6,0.0,3,Overcast
2026-08-08 07:40:17,Edinburgh,16.4,14.3,64,14.4,0.0,3,Overcast
2026-08-08 07:40:18,Leeds,15.0,14.2,64,2.2,0.0,0,Clear sky
2026-08-08 19:21:24,London,26.5,24.0,26,9.7,0.0,2,Partly cloudy
2026-08-08 19:21:25,Birmingham,25.1,22.4,31,12.6,0.0,3,Overcast
2026-08-08 19:21:25,Manchester,21.5,19.9,48,11.2,0.0,0,Clear sky
2026-08-08 19:21:26,Glasgow,15.6,14.6,91,16.2,0.0,3,Overcast
2026-08-08 19:21:26,Cardiff,24.1,22.9,40,7.6,0.0,0,Clear sky
2026-08-08 19:21:27,Belfast,18.6,18.6,75,9.4,0.0,3,Overcast
2026-08-08 19:21:27,Edinburgh,17.8,17.0,72,11.5,0.1,51,Light drizzle
2026-08-08 19:21:28,Leeds,22.0,20.1,47,13.3,0.0,0,Clear sky
2026-08-09 07:44:43,London,21.1,20.5,43,1.1,0.0,2,Partly cloudy
2026-08-09 07:44:43,Birmingham,19.2,18.3,54,5.4,0.0,2,Partly cloudy
2026-08-09 07:44:44,Manchester,16.1,15.5,68,4.3,0.0,3,Overcast
2026-08-09 07:44:45,Glasgow,14.4,13.7,90,11.5,0.2,53,Moderate drizzle
2026-08-09 07:44:45,Cardiff,19.5,19.4,59,3.6,0.0,0,Clear sky
2026-08-09 07:44:46,Belfast,15.0,14.2,88,11.9,0.1,51,Light drizzle
2026-08-09 07:44:46,Edinburgh,14.9,14.0,91,14.4,0.1,51,Light drizzle
2026-08-09 07:44:47,Leeds,18.0,17.0,60,7.6,0.0,3,Overcast
2026-08-09 19:24:51,London,29.3,26.1,26,18.4,0.0,0,Clear sky
2026-08-09 19:24:52,Birmingham,23.8,21.1,43,19.4,0.0,3,Overcast
2026-08-09 19:24:52,Manchester,19.6,18.4,60,11.5,0.0,3,Overcast
2026-08-09 19:24:53,Glasgow,15.3,12.6,65,16.2,0.0,1,Mainly clear
2026-08-09 19:24:53,Cardiff,20.6,19.6,68,16.9,0.0,0,Clear sky
2026-08-09 19:24:53,Belfast,16.0,14.6,69,10.4,0.0,1,Mainly clear
2026-08-09 19:24:54,Edinburgh,15.9,12.9,63,18.7,0.0,1,Mainly clear
2026-08-09 19:24:54,Leeds,19.2,16.8,57,17.3,0.0,3,Overcast
2026-08-10 08:20:49,London,20.9,20.4,60,10.1,0.0,0,Clear sky
2026-08-10 08:20:50,Birmingham,16.1,13.8,59,12.6,0.0,0,Clear sky
2026-08-10 08:20:50,Manchester,15.5,13.5,60,9.7,0.0,0,Clear sky
2026-08-10 08:20:50,Glasgow,14.1,12.5,71,8.6,0.0,3,Overcast
2026-08-10 08:20:51,Cardiff,18.2,17.4,65,8.6,0.0,3,Overcast
2026-08-10 08:20:51,Belfast,14.3,13.1,71,6.8,0.0,1,Mainly clear
2026-08-10 08:20:52,Edinburgh,14.2,12.0,70,12.6,0.0,2,Partly cloudy
2026-08-10 08:20:52,Leeds,15.7,13.9,57,7.2,0.0,0,Clear sky
